f=457875000,d=CH8 IN
f=467825000,d=CH8 OUT1
f=467875000,d=CH8 OUT2
f=467925000,d=CH8 OUT3
f=457950000,d=CH9 IN
f=467900000,d=CH9 OUT1
f=467950000,d=CH9 OUT2
f=468000000,d=CH9 OUT3
f=458075000,d=CH10 IN
f=468025000,d=CH10 OUT1
f=468075000,d=CH10 OUT2
f=468125000,d=CH10 OUT3
f=458150000,d=CH11 IN
f=468100000,d=CH11 OUT1
f=468150000,d=CH11 OUT2
f=468200000,d=CH11 OUT3
f=458125000,d=CH12 IN
f=468075000,d=CH12 OUT1
f=468125000,d=CH12 OUT2
f=468175000,d=CH12 OUT3
f=458225000,d=CH13 IN
f=468175000,d=CH13 OUT1
f=468225000,d=CH13 OUT2
f=468275000,d=CH13 OUT3
f=458275000,d=CH14 IN
f=468225000,d=CH14 OUT1
f=468275000,d=CH14 OUT2
f=468325000,d=CH14 OUT3
