f=462562500,d=CH1
f=462587500,d=CH2
f=462612500,d=CH3
f=462637500,d=CH4
f=462662500,d=CH5
f=462687500,d=CH6
f=462712500,d=CH7
f=467562500,d=CH8
f=467587500,d=CH9
f=467612500,d=CH10
f=467637500,d=CH11
f=467662500,d=CH12
f=467687500,d=CH13
f=467712500,d=CH14
f=462550000,d=CH15
f=462575000,d=CH16
f=462600000,d=CH17
f=462625000,d=CH18
f=462650000,d=CH19
f=462675000,d=CH20
f=462700000,d=CH21
f=462725000,d=CH22
